,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
0,36990,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
1,39990,8,DDR4,Intel Core i3 ,512,Windows,Lenovo
2,32990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
3,49990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
4,49990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
5,36990,8,DDR4,Intel Core i3 ,256,Windows,HP
6,38990,8,DDR4,Intel i3,256,Windows,DELL
7,39990,8,DDR4,Intel Core i5 ,512,Windows,RedmiBook
8,46990,8,DDR4,Intel Core i3 ,256,Windows,realme
9,44990,16,DDR4,AMD Ryzen 7 Quad Core ,512,Windows,ASUS
10,59990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
11,38705,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,Lenovo
12,32990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
13,52990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
14,29990,8,DDR4,Intel Core i3 ,256,Windows,acer
15,196990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
16,47990,8,DDR4,Intel Core i5 ,256,Windows,ASUS
17,45990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
18,47990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,MSI
19,85990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
20,88990,8,DDR4,M1 ,256,Mac OS,APPLE
21,40990,8,DDR4,Intel Core i3 ,512,Windows,HP
22,19490,4,LPDDR4,Intel Celeron Dual Core ,256,DOS,Lenovo
23,35590,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,Lenovo
24,65990,8,DDR4,Intel Core i5 ,512,Windows,HP
28,58990,16,DDR4,Intel Core i5 ,512,Windows,acer
32,24990,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,acer
33,47990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
34,73990,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
35,53490,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
37,150990,16,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
38,51990,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
39,66990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
41,194990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
42,51990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
43,25990,8,DDR4,AMD Athlon Dual Core ,256,Windows,HP
44,35990,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,acer
45,43990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
46,44990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
47,64490,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
48,40990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
49,38990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
52,58990,8,DDR4,Intel Core i5 ,512,Windows,HP
53,59990,8,DDR4,Intel Evo Core i5 ,512,Windows,realme
54,47990,8,DDR4,Intel Core i5 ,512,Windows,acer
55,37499,8,DDR4,AMD Ryzen 3 Quad Core ,512,Windows,HP
58,94990,8,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
59,32990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
62,23990,4,DDR4,Intel Celeron Dual Core ,256,Windows,ASUS
63,48990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
64,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
65,89990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
68,59990,8,DDR4,AMD Ryzen 5 Hexa Core ,1,Windows,ASUS
69,70990,16,DDR4,AMD Ryzen R5,512,Windows,DELL
72,22990,8,LPDDR4X,Intel Celeron Quad Core ,256,Windows,Infinix
73,46990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
74,50990,8,DDR4,Intel Core i5 ,256,Windows,ASUS
75,28990,8,LPDDR4X,Intel Core i3 ,256,Windows,Infinix
78,84990,16,DDR4,Intel Core i7 ,512,Windows,MSI
79,181990,16,Unified Memory,M1 Pro ,512,Mac OS,APPLE
82,109990,16,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,MSI
83,32990,4,LPDDR4X,Qualcomm Snapdragon 7c Gen 2 ,0,Windows,SAMSUNG
84,37990,16,LPDDR4X,Intel Core i5 ,512,Windows,Infinix
85,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
88,29990,4,DDR4,Intel Core i3 ,256,Windows,Lenovo
89,19490,4,DDR4,Intel Celeron Dual Core ,0,Chrome,Lenovo
91,73490,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,Lenovo
92,52990,8,DDR4,AMD Ryzen 5 Hexa Core ,256,Windows,ASUS
93,41890,8,DDR4,Intel Core i3 ,512,Windows,HP
94,30428,8,DDR4,Intel PQC,256,Windows,DELL
95,34990,8,DDR4,Intel Core i3 ,512,Windows,acer
98,88990,8,DDR4,M1 ,256,Mac OS,APPLE
100,65990,8,DDR4,Intel Core i7 ,512,Windows,MSI
101,33490,8,DDR4,Intel Core i3 ,512,Windows,ASUS
102,60990,16,DDR4,Intel Core i5 ,512,Windows,HP
105,59990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
106,114990,16,DDR4,Intel Core i7 ,1,Windows,MSI
108,119990,16,DDR4,Intel Core i7 ,1,Windows,ASUS
109,42990,8,LPDDR4X,Intel Core i5 ,512,Windows,Infinix
110,89990,16,LPDDR5,Intel Core i5 ,512,Windows,ASUS
112,79990,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,MSI
113,70990,8,DDR4,Intel Core i5 ,1,Windows,ASUS
114,33900,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
117,52990,16,LPDDR4X,Intel Core i7 ,512,Windows,Infinix
118,124990,16,DDR4,M1 ,512,Mac OS,APPLE
120,31990,8,DDR4,Intel Core i3 ,256,Windows,RedmiBook
121,66990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
122,89081,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,DELL
124,104990,8,DDR4,M1 ,512,Mac OS,APPLE
125,53490,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
126,45990,8,LPDDR4X,Intel Core i3 ,256,Windows,ASUS
128,45990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
129,51990,8,DDR4,Intel Core i5 ,512,Windows,MSI
130,75990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,HP
132,36990,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
133,78800,16,DDR4,Intel Core i5 ,512,Windows,HP
134,29390,8,DDR4,AMD Athlon Dual Core ,512,Windows,HP
136,30990,8,LPDDR4X,Intel Core i3 ,256,Windows,Infinix
137,62490,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
138,89990,16,DDR4,Intel Core i7 ,512,Windows,ASUS
140,58899,8,DDR4,Intel Core i5 ,512,Windows,HP
141,85990,16,DDR4,Intel Core i5 ,512,Windows,MSI
142,33099,8,DDR4,AMD Ryzen 3,0,Windows,DELL
145,63490,8,DDR4,Intel Core i5 ,256,Windows,Lenovo
148,38990,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,ASUS
149,67990,8,DDR4,Intel Core i5 ,512,Windows,HP
152,39790,8,DDR4,Intel Core i3 ,512,Windows,HP
153,241990,16,Unified Memory,M1 Pro ,1,Mac OS,APPLE
154,104990,8,DDR4,M1 ,512,Mac OS,APPLE
155,42190,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,DELL
158,39990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
159,99990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
162,309490,32,Unified Memory,M1 Max ,1,Mac OS,APPLE
163,64990,16,DDR4,Intel Core i5 ,256,Windows,ASUS
165,85990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
168,222990,16,Unified Memory,M1 Pro ,1,Mac OS,APPLE
169,15990,4,LPDDR4,Intel Celeron Dual Core ,128,DOS,Ultimus
172,45900,8,DDR4,Intel i3,256,Windows,DELL
173,79990,16,LPDDR4X,Intel Core i7 ,512,Windows,ASUS
174,56990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
175,34990,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,DELL
178,43580,8,DDR4,Intel Core i3 ,512,Windows,DELL
179,74990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
182,37490,8,DDR4,Intel Core i3 ,512,Windows,Lenovo
183,20990,4,LPDDR4X,Intel Celeron Quad Core ,128,Windows,Infinix
184,109990,16,DDR4,Intel Core i7 ,512,Windows,MSI
185,71990,16,LPDDR4,Intel Core i5 ,512,Windows,ASUS
188,32990,8,LPDDR4X,Intel Core i3 ,512,Windows,Infinix
189,43990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,MSI
192,25990,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,acer
193,122990,16,DDR4,Intel Core i9 ,1,Windows,ASUS
194,68990,16,DDR4,Intel Core i5 ,512,Windows,acer
195,59990,8,DDR4,Intel Core i5 ,512,Windows,acer
198,39990,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,acer
199,37990,8,DDR4,Intel Core i3 ,0,Windows,ASUS
202,25950,4,DDR4,Intel Celeron Dual Core ,256,Windows,Lenovo
203,64999,16,LPDDR4X,Intel Core i5 ,512,Windows,realme
204,60990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
205,36990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
208,59990,8,LPDDR4X,Intel Core i5 ,256,Windows,SAMSUNG
209,222990,16,Unified Memory,M1 Pro ,512,Mac OS,APPLE
212,235283,16,DDR5,Intel Core i9 ,1,Windows,DELL
213,38990,8,DDR4,Intel Core i3 ,512,Windows,DELL
214,67990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
215,79990,16,DDR4,Intel Core i5 ,512,Windows,MSI
222,89990,16,LPDDR5,Intel Core i5 ,512,Windows,ASUS
223,241990,32,DDR5,Intel Core i9 ,1,Windows,ASUS
224,43490,8,DDR4,Intel Core i5 ,512,Windows,ASUS
225,46990,8,DDR4,Intel Core i3 ,256,Windows,realme
228,40990,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,Vaio
229,94990,8,DDR4,M1 ,256,Mac OS,APPLE
232,114990,16,DDR4,Intel Core i7 ,1,Windows,MSI
233,121990,8,Unified Memory,M2 ,256,Mac OS,APPLE
235,27990,8,DDR4,Intel Pentium Silver ,256,Windows,ASUS
238,40190,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,DELL
239,34990,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,Lenovo
242,94990,16,LPDDR4X,Intel Core i7 ,1,Windows,ASUS
243,69990,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
244,59990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
245,66990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
248,104990,16,LPDDR4X,Intel Core i7 ,512,Windows,ASUS
249,54900,8,DDR4,Intel i3,256,Windows,DELL
252,136990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,Lenovo
253,48184,8,DDR4,AMD Ryzen 5,512,Windows,DELL
254,74990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
255,60990,8,DDR4,Intel Core i5 ,512,Windows,acer
258,49990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
259,67990,8,DDR4,Intel Core i5 ,512,Windows,DELL
262,58000,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
263,29990,8,LPDDR4X,Intel Core i3 ,256,Windows,Infinix
264,114990,16,LPDDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
265,33990,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,HP
268,64990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
269,79990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
273,56990,8,DDR4,AMD Ryzen 5 Dual Core ,512,Windows,ASUS
274,81990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
275,129990,16,DDR4,Intel Core i7 ,1,Windows,MSI
278,38990,8,DDR4,AMD Ryzen 3 Dual Core ,0,Windows,DELL
279,79990,16,DDR4,AMD Ryzen 7 Octa Core ,256,Windows,HP
282,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
283,109990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
284,154990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
285,62990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
288,47990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
289,43667,8,DDR4,AMD Ryzen 3 Quad Core ,512,Windows,DELL
290,135990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
292,98990,16,DDR5,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
293,46990,16,LPDDR4X,Intel Core i7 ,512,Windows,Infinix
294,35990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
296,109990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
297,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
298,74770,8,DDR4,Intel Core i5 ,512,Windows,DELL
300,40799,8,DDR4,AMD Ryzen 3 Quad Core ,512,Windows,HP
301,69490,16,DDR4,Intel Core i5 ,512,Windows,ASUS
302,39990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
304,99990,16,LPDDR5,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
305,241990,16,Unified Memory,M1 Pro ,1,Mac OS,APPLE
306,40990,8,DDR4,Intel Core i5 ,512,Windows,acer
308,60390,8,DDR4,Intel Core i5 ,512,Windows,HP
309,69990,8,DDR4,Intel Core i5 ,256,Windows,HP
310,44990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
312,44990,8,DDR4,Intel Core i5 ,256,Windows,ASUS
318,55990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
319,74990,16,LPDDR4X,Intel Core i5 ,512,Windows,Lenovo
324,59990,8,DDR4,Intel Core i5 ,1,Windows,ASUS
325,222990,16,Unified Memory,M1 Pro ,512,Mac OS,APPLE
332,62990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
334,58499,8,DDR4,Intel Core i5 ,512,Windows,MSI
335,65990,8,DDR4,Intel Core i5 ,256,Windows,Lenovo
338,111990,16,DDR5,Intel Core i7 ,512,Windows,DELL
339,68490,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
343,83990,8,DDR4,Intel Core i5 ,0,Windows,ASUS
